,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,lapatinib,LBW242,Nilotinib,Nutlin-3,paclitaxel,Panobinostat,PD-0325901,PD-0332991,Crizotinib,PHA-665752,PLX4720,RAF265,Sorafenib,TAE684,TKI258,Topotecan,Vandetanib
17-AAG,9.79E-02,4.77E-02,3.64E-02,4.56E-02,5.14E-02,2.10E-02,4.68E-02,6.43E-02,0.00E+00,2.71E-02,4.67E-02,5.46E-02,2.27E-02,4.45E-02,5.57E-02,2.72E-02,3.09E-02,5.23E-02,5.20E-02,4.08E-02,1.54E-02,2.94E-02,5.18E-02,3.77E-02
AEW541,4.77E-02,1.40E-01,5.53E-02,4.56E-02,4.87E-02,6.44E-03,3.24E-02,4.91E-02,0.00E+00,3.60E-02,3.74E-02,4.42E-02,2.55E-02,4.59E-02,3.54E-02,4.05E-02,4.74E-02,4.75E-02,4.21E-02,5.08E-02,1.80E-02,2.80E-02,4.07E-02,3.50E-02
AZD0530,3.64E-02,5.53E-02,1.96E-01,4.05E-02,3.57E-02,8.78E-03,1.96E-02,4.15E-02,0.00E+00,2.88E-02,2.21E-02,3.58E-02,3.60E-02,4.27E-02,1.91E-02,5.59E-02,5.83E-02,3.18E-02,3.96E-02,5.80E-02,1.24E-02,3.89E-02,2.66E-02,6.01E-02
AZD6244,4.56E-02,4.56E-02,4.05E-02,1.28E-01,4.14E-02,9.23E-03,2.56E-02,4.03E-02,0.00E+00,2.19E-02,3.02E-02,5.60E-02,1.92E-02,1.25E-01,2.89E-02,2.97E-02,2.27E-02,6.92E-02,7.56E-02,3.81E-02,7.22E-03,2.11E-02,4.50E-02,3.43E-02
Erlotinib,5.14E-02,4.87E-02,3.57E-02,4.14E-02,1.08E-01,1.13E-02,4.26E-02,5.82E-02,0.00E+00,4.57E-02,3.91E-02,4.51E-02,1.59E-02,3.98E-02,3.76E-02,3.47E-02,4.06E-02,4.57E-02,4.78E-02,5.88E-02,7.45E-03,5.00E-02,4.40E-02,5.04E-02
Irinotecan,2.10E-02,6.44E-03,8.78E-03,9.23E-03,1.13E-02,6.28E-01,2.80E-02,2.07E-02,0.00E+00,1.37E-02,3.44E-02,3.94E-02,2.37E-02,9.71E-03,3.72E-02,0.00E+00,0.00E+00,1.98E-02,1.15E-02,1.38E-02,0.00E+00,0.00E+00,5.39E-02,9.46E-03
L-685458,4.68E-02,3.24E-02,1.96E-02,2.56E-02,4.26E-02,2.80E-02,1.52E-01,4.45E-02,0.00E+00,4.40E-02,8.35E-02,4.52E-02,6.13E-02,2.30E-02,1.00E-01,2.81E-02,1.99E-02,3.01E-02,3.49E-02,2.60E-02,1.31E-02,2.50E-02,4.85E-02,2.57E-02
lapatinib,6.43E-02,4.91E-02,4.15E-02,4.03E-02,5.82E-02,2.07E-02,4.45E-02,8.98E-02,0.00E+00,3.08E-02,4.43E-02,4.89E-02,2.42E-02,3.89E-02,4.70E-02,3.44E-02,3.94E-02,4.70E-02,4.44E-02,4.44E-02,1.32E-02,3.36E-02,5.72E-02,4.39E-02
LBW242,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Nilotinib,2.71E-02,3.60E-02,2.88E-02,2.19E-02,4.57E-02,1.37E-02,4.40E-02,3.08E-02,0.00E+00,2.19E-01,3.23E-02,2.33E-02,2.95E-02,2.31E-02,3.51E-02,4.38E-02,3.99E-02,2.82E-02,2.80E-02,5.72E-02,2.31E-02,8.16E-02,2.28E-02,6.46E-02
