"","AICAR","Camptothecin","Vinblastine","Cisplatin","Cytarabine","Docetaxel","Methotrexate","ATRA","Gefitinib","ABT-263","Vorinostat","Nilotinib","RDEA119","CI-1040","temsirolimus","AZD-2281","ABT-888","Bosutinib","lenalidomide","Axitinib","AZD7762","GW 441756","CEP-701","SB 216763","17-AAG","VX-702","AMG-706","KU-55933","Elesclomol","BIBW2992","GDC-0449","PLX4720","BX-795","NU-7441","SL 0101-1","BIRB 0796","JNK Inhibitor VIII","681640","Nutlin-3","PD173074","ZM-447439","RO-3306","MK-2206","PD-0332991","NVP-BEZ235","GDC-0941","AZD8055","PD-0325901","SB590885","AZD6244","AZD6482","CCT007093","EHT 1864","BMS-708163","PF-4708671","JNJ-26854165","TW 37","CCT018159","AG-014699","Doxorubicin","etoposide","Gemcitabine","Mitomycin-C","Vinorelbine","NSC-87877","Bicalutamide","QS11","Midostaurin","CHIR-99021","AP-24534","JNK-9L","PF-562271","DMOG","FTI-277","OSU-03012","shikonin","AKT inhibitor VIII","embelin","FH535","pac-1","IPA-3","GSK-650394","BAY 61-3606","thapsigargin","Obatoclax Mesylate","BMS-754807","OSI-906","Bexarotene","Bleomycin","LFM-A13","AUY922","Bryostatin 1","Pazopanib","LAQ824","Epothilone B","GSK-1904529A","Tipifarnib","AS601245"
"22RV1",3.96513554603457,-2.03085393639873,-2.00810298566975,1.40297572924848,0.440609992259089,-2.40929423927889,-0.270121178970739,2.98715301377042,1.70196619960926,2.17585270366074,0.413758867326457,2.19108731979142,1.51413644195299,2.16030278973619,-0.673794859838438,2.47066265533871,2.65112156704811,1.77851233922263,2.58675261041282,1.24522651029228,0.257325994944905,1.06470723164989,0.146016753527584,2.97001531922003,0.543034871460116,1.73783848951998,1.99262082168438,2.90565417988542,-1.9469152361144,1.53371313431374,2.49004434947709,2.90880585494059,1.3593842892164,2.04221681722325,2.78456332385219,2.37066287652463,2.84354355455602,1.60727306506955,1.10741010517199,2.07637711828631,2.08214715477288,2.39073553318372,1.33382084742262,0.22490200322049,-1.30896617422329,0.39025875861619,-0.150477826445694,0.672769056272183,2.01485626486334,1.8052761709644,1.8905332468263,1.87721531471375,1.60305041982201,1.88382657961176,1.68034919177252,1.36523727594901,0.0120190997866725,1.59699678903876,1.16238961510854,-1.67277943895295,0.184843548798698,-1.01557766838459,-0.841426015435865,-2.05615072138063,3.30412718433232,1.58031119504403,1.32709362589793,0.987837108353017,2.29540051139976,1.60031697035291,0.00578263102654179,0.885347084979704,2.48357596746362,1.96066239364457,1.22684977358503,0.664166116880161,0.820479992573671,1.35302057217308,0.41990934577917,1.62302405733922,3.07017795846483,2.1575715117395,1.54153564652178,-2.93131533793763,-0.562592454863665,0.268938595096516,0.763442361087389,1.68546083782452,0.865063795496895,2.63501749336466,-1.45506935235277,-0.391473914576555,2.24288041111424,-2.2621087993005,-2.0751319960067,1.89282081833198,0.507752787750295,1.93656990726098
"23132-87",3.86685600766331,-1.94484452002469,-1.82605499045106,2.42627993076061,-0.771170631392858,-2.31293645399005,-0.642533474442078,2.74004987663503,1.56848405341836,1.58495727741144,0.187712932440633,2.37187455812914,0.477486371011976,1.13871926296136,-0.977886987478131,2.67471114042165,2.67810384891428,1.44026425346469,2.75489145625959,2.1358576562333,-0.59560534990554,1.27396942198808,-0.372933448849623,2.44770671893626,-0.679137550554812,2.42613313922572,1.33801222346746,1.64578456254681,-0.96293379417172,1.35041523957614,3.01324108329835,2.93280844236642,1.39745454350004,1.20549377673192,2.98654239572886,2.41442412569913,2.75565885460912,1.62534405846155,1.31996902492231,2.28415315290743,2.12334346073726,2.77138856644917,-0.0467943618361116,1.69924577897461,-0.620721034088487,-0.108009037649339,-0.175110140870283,0.0251721424655944,2.7680401559937,2.67849992548178,0.527096232776945,2.51093869129594,2.12915345231616,1.94703206133003,1.73763827976382,1.18201364556782,-0.27190135205206,1.14217190409249,2.60617643111595,-1.81203075304144,-0.29982431576603,-1.36602595472815,-1.5152208752743,-2.15831676107045,2.98478697743301,1.56189450324445,0.783343905720606,0.666365818431001,1.96926663592003,1.61566841169922,-0.205424330001611,0.839416100573617,4.81294091311511,1.51007491995823,1.2285278874631,0.323932002456479,-0.119539121849388,1.36728497443119,0.544544913373693,1.19943884306522,3.07043462650363,1.01412929628744,1.44951385734027,-1.50300721155974,-0.0817420387948662,1.63877418101992,1.76288816094168,2.35563411597837,-0.881221287401624,2.50945818140713,-0.979319290679448,-1.31489820255161,2.35083212189196,-1.35718241619316,-2.43590172500717,1.51896492800279,0.826192267894144,0.851398719623809
"639-V",3.53846032652183,-2.98691415180537,-2.32443309751499,0.375743334147537,-0.0539393746523839,-2.8250413067435,1.10268324403096,3.09168682697557,0.471636424340739,1.46726564428806,0.244008788951824,1.96462315931952,0.689743890391853,0.611660782607022,-1.83228755056086,1.12839391165411,1.52874219967388,0.857458864824287,1.69132989345296,0.209652621077421,-0.235257320846992,0.853370850866132,0.525982732922666,2.23823085439098,-0.714154280336189,1.90140464876679,1.12427766855463,0.868106896931591,-2.1944835026399,0.709713619258728,1.68248939497934,2.96037875896108,0.967304099543113,0.0912804485009073,2.26450480195716,2.55881574927543,1.31142210951846,2.13562053144618,1.64143466901606,0.605212378139722,1.83131777098277,0.952876836854287,0.756071515140527,1.32665151411536,-1.30741704580634,-0.124928716369807,0.207198422960186,-1.9806907522665,2.72499462412537,1.72951002424052,0.506095180573834,2.36244732781047,2.26961818518709,2.74564185238402,1.92743669430656,1.03954203789601,-0.282843835818095,1.7091190297262,2.51207089701026,-1.79822930870104,0.00344569241942035,-0.714135605673467,-2.75462914239252,-2.17984734430528,1.44186376004154,1.73894811192125,0.0606110064833816,-0.0359170222423627,2.17232492958424,0.389841835913563,-0.658256237570422,0.829385200925097,3.18309235228726,1.66115163849447,-0.617622342960108,-0.576737426139254,1.29042223414051,2.24027898716764,0.206861410442229,2.22865596394846,1.65394148150591,0.713539319349814,0.154659213717458,-3.29089075711288,-0.806983857254046,-0.00433208745698493,1.43175685885869,1.47199163684014,-0.658442549903158,2.65882160821226,-2.31407908277194,-1.10501106245396,2.49632859063023,-1.38944832472616,-3.66147640999333,1.40151259113895,0.076801070474253,0.684452446424344
"647-V",3.03364163229127,-3.26005584889775,-1.61429256678055,2.00341781679898,-0.0642955608678488,-2.56212854758339,0.828866219019223,2.12478140976684,0.0874973092690481,1.95886354590052,0.661365351766367,2.33310639261308,1.25252786912204,0.986943764603742,-0.602783369102437,2.26122544432431,2.60416868772611,0.600290084481831,2.71477176631585,2.21855992012766,-0.41926354988458,2.08467865730789,0.079480667427596,2.39251570626504,1.59426811680896,2.15242077918413,2.36113923283098,1.23400824953024,-2.16200044686595,0.970675093311646,2.93804516522921,2.97167388984642,1.68368587627698,0.984893460354676,2.71805286112663,2.83088908194233,2.91004229133057,1.20304609303191,2.92705100041983,2.09372892001628,2.2105480555255,2.51449686598617,1.81476984833881,2.55417618132526,-1.0181235026375,0.792560937510039,0.0651988933902076,0.0766351699821659,2.87732037359157,2.43021246729424,1.38158810042028,2.25941313345133,1.16827821398866,2.37010958535469,1.09195573603347,1.20213450891439,-1.05341036358662,1.90236487386628,1.72569040427218,-1.72570647316801,-0.312169570708612,-3.60542592986442,-1.05854850160202,-1.68012335864193,3.19833608860207,1.86539208173841,1.28671553073746,1.08268615461172,2.49785991297342,-0.16654802515956,-0.396391430995146,0.749769033619147,1.97079448390737,0.673034410200625,0.983676567216384,-0.445482342051561,0.769178088309886,1.38992822012866,0.489526751228262,1.2379160312784,3.4198940243119,1.78234629090887,0.863168968672351,-1.86291660319156,-0.982648592177718,1.62203994604323,1.73912009253608,2.14348473592449,0.238901485844642,2.9620438440047,-0.825598587337383,0.00300748928718001,1.53061096882951,-1.23737576894291,-2.61696778040228,1.7291795261398,0.362585948523796,2.20738074586898
"697",2.93229727776122,-2.32450692757692,-2.25786183356197,1.01243207345216,-2.2749144063939,-2.52859102480738,-1.74923567960857,2.07838008443685,1.80419564629343,-0.909391798970278,-0.392101470102905,0.486225244576833,1.11248353330959,0.899152003675963,-1.9698242700348,0.487805207901997,2.46971372189575,-0.690031827633355,2.08148833004383,0.372962112285429,-1.16431180248544,1.25539812135294,-1.67730174739301,1.72096137165874,0.19602055158496,1.5902257037714,1.74461912926594,0.90035152503498,-1.98274539946038,0.668461289306184,1.55323988280908,0.660299158813295,-0.0114623342608725,0.419928889030856,2.38038890144685,1.73725436344182,2.24434007486791,0.395039472272981,0.305607381087054,0.183749995293266,-0.0252451039385541,1.29566329994811,-0.376687924645677,-1.2714778745454,-1.70038406481168,-0.809725992612783,-1.06512154858563,0.320475018380529,2.33954784836867,2.41638235951803,0.604456103514936,2.73788709011515,1.28295627770211,2.99444612100502,1.27819337011907,0.600775191418117,-1.02784909326525,0.871268995054329,0.1810013455173,-1.71913386047889,-0.61403811060096,-2.20434068449566,-3.89187440988231,-2.3738675355066,2.82847266744502,2.30830904628537,0.521221562517561,-0.173071996866711,1.73364277053031,-0.724200814586057,-0.428773730449298,0.581673182926084,2.36063371405404,1.83984861749079,0.229124648468036,-0.0576708328408966,0.855970971929287,1.63209864053859,2.74615127981129,-0.0408301957161342,2.16968789349012,1.53090802625513,-0.235169159067165,-3.37134294129649,-1.27382914487043,0.880050863772894,1.06728303222206,2.34066702524854,0.197543622332995,2.02005216404483,-1.69226232370561,-1.54465865814115,1.34321463706618,-2.04390057692959,-2.7492469308783,1.63460712546606,0.108191441331738,0.932485408045483
"769-P",4.02771955234924,-1.59614296608734,-1.59253571612065,1.20830235914638,-0.642340213397631,-0.678496966194005,-1.34433033959019,2.06782368846523,0.106931987334219,0.59051889293349,0.768429364623084,1.29299803471267,1.27292450946462,1.1069514901991,-0.404232617865909,1.39526656790022,2.4819781980647,0.229416494359875,2.31022254777264,1.91817449589101,-0.651738780280499,1.9567737208536,0.206616902648918,2.11893233168457,-0.672028584180538,2.19187773574848,1.93402059865221,2.32985222406018,-2.00784675192543,0.359905048687008,2.05533989358292,2.01980722195704,1.22807231255158,2.13182610055779,1.44379333042464,2.24523732726753,2.7489563878699,0.00883441835087591,1.82381185945203,1.75284075810285,1.5395986931325,1.93884300457926,1.51006319400722,0.686570500612586,-1.9814802996346,0.582907447843653,0.435014976448729,0.0776427331801814,2.35411234811378,0.573173171326274,1.36514624812316,2.58248957577846,1.48306267177281,2.1746392848783,2.13855071631558,0.260606221166721,-0.863794787020774,1.91051136975782,0.636976676546126,-1.68277559504291,0.353441443912842,-3.9096526887935,-2.14798967258527,-1.77148502021095,2.82295061310762,1.80789713816269,0.56089827208976,-0.917845775355007,-0.232851763711729,1.31548623728011,-0.272024691684921,1.07986888630762,4.5321973254115,1.6830374746155,0.39653387958521,-0.162031796842248,1.54575394882451,0.927906207028295,0.827791774470994,0.656192470192417,1.77517131177335,0.689189730632945,-0.0087371363869296,-1.49039008827148,-2.1688987804165,0.688591272836882,1.8276332165983,2.17477348187321,-0.910801518858536,3.00727822006181,-1.96958540806975,-1.1352913766157,2.03979258542527,-1.54546774876094,-3.12299424758701,1.65722605067255,0.622459949194028,2.25947046032294
"8-MG-BA",4.20824751688126,-2.8233519012089,-2.19822755536839,0.731110005498656,-0.467630057745182,-3.12996206825466,1.33856898899326,2.811830068604,0.791956399591229,2.18268980168934,0.369041735997288,1.92851027026582,1.53534087003192,1.11546105627752,-0.388884216580966,0.939013722697453,2.23084046519243,0.727768978049374,2.60073993279148,0.630080080173502,-0.588923729301459,2.12710227947813,-0.906699173182478,2.61999959018044,-1.02353958912132,2.45873432309876,1.99779370325833,1.9707745063612,-2.03904082167709,1.56759505261391,1.74338529864285,0.791079124737785,0.2916895458255,1.13834446682348,2.4623259384641,2.88541562273424,2.77157965602121,0.191311496517683,2.58822747447337,2.03484727415983,0.688998206766425,0.496997050611479,1.28022890835575,2.21957573492083,-1.42884057141271,0.688915256520382,0.297125609855483,0.403529060805225,2.20095318753682,1.90394570578041,1.44474680578455,2.43404381321359,1.85221384997954,2.72651508910652,2.60590673424268,0.908194883378153,-0.812598416316091,2.28242552945842,0.656189430131044,-1.65515272881594,-1.32905924272303,-2.22692747191049,-0.982953901198497,-2.47178313510202,2.64048482659734,1.95303791972027,0.548911310094748,-0.703106263011052,1.88143969713922,-0.25137833201524,-0.934157441800811,0.730036863833873,2.09944293251468,1.41439419976668,0.188869892940423,-1.06773469848324,1.44652460842133,0.548030995179931,0.567899099138041,2.36347964579395,3.33952218460744,1.19229339595447,0.985786369809469,-2.70006481798068,-1.1078443996539,0.305285134581481,1.24710787398788,1.13545771140227,0.170124874512515,1.91853886896132,-1.72480791788496,-0.31073379315144,1.55580308884127,-1.30320178356499,-2.32062737497008,1.87913793638513,0.329142233355873,0.565520902555138
"8505C",3.30151056007886,-2.52093354450246,-2.5401289263081,1.12491608144303,0.409283462690444,-2.96331632683668,1.23066722208096,2.18477528379144,1.28550167766054,0.592129691166869,0.0860302625091789,0.818167374457536,0.363268659449348,0.392946607164689,-1.2089668297037,1.20465602267632,2.16758243384185,0.560148679813995,2.75586861884388,0.55153358017648,-0.508338216711901,1.72652164391055,-0.362110830360594,2.34860706477199,-0.0393562002445546,1.79954739245362,1.67409882558897,1.55276259317347,-2.103778928622,1.38310024228418,1.65283316198809,1.66292051991926,0.641182384308877,1.42532191752033,2.96424528273347,1.89955629145181,2.21528664261755,1.98175607663061,1.7979279083306,2.34272254103139,0.775434968910666,1.33054235837873,1.18893152237005,1.0073577767256,-1.39602918901044,0.930285272200161,0.0948121312277447,-0.961617447597072,2.35301488595801,2.05657198702808,1.82235808293306,2.7893770438896,1.96272094948879,2.62946677559145,2.07110652045394,1.56886883832933,-0.65504289269882,1.21942550941689,1.37696713561074,-1.70862610548924,-0.159420818417046,-2.97343538826502,-0.366702625917757,-2.35465000468238,3.10686151046775,1.99091838731532,0.6597710567233,-0.559029937228612,1.55545044172197,-0.138222470460866,0.10083058415796,1.10078277137815,2.83102458182068,1.39788666650954,0.182166557612247,0.491287815352379,1.68766140796433,1.14824638101087,0.425860483064691,0.644210285436707,1.05100350356792,0.891113647110416,0.24808551125345,-4.11807321642576,-1.51715174854084,0.133520798399781,1.73736641141815,1.32803126768436,0.0170239093961255,2.3923702176136,-2.08543823835674,-1.43415590157672,1.98536202371385,-1.80567051035397,-3.34610522036413,1.57084010098269,-0.365427537318889,0.462375528808634
"A101D",2.59208487806163,-2.39558052242383,-2.03585440306337,0.574524261459475,0.00206289878904045,-2.23954589808218,0.540428670274214,1.75170073508785,0.620408776355999,0.928686634212276,0.0470553728197355,0.841071631138632,-0.195592337225804,-0.127491922402,-1.14092200457358,0.859744990977026,0.795298295629475,0.44839602373065,1.73999519591711,0.694485517545273,-0.255777300822438,1.42315174799426,-0.417279258396764,1.49105890177362,-0.204813711960055,0.434152901902151,1.84852886130059,1.36236789230708,-1.74625641946271,1.38740714066121,1.10793951014543,-0.131809678141083,0.538519077437286,0.924298088472643,1.76159830633043,2.82032964590933,2.7177249687928,2.02276520167328,0.55238914030583,0.714549054020239,0.898271254466663,1.56348792969855,1.10763420112466,0.58673575370163,-1.62813353191881,-0.0560900009267688,-0.321151649183335,-1.60717534881112,0.225245095861194,2.06434759543208,1.21994007072335,2.70256809137437,2.61203245790993,2.26656335780139,2.76222408429205,1.51067641781567,-1.05797132423557,2.31252300564328,2.38574114664183,-1.28834456933908,0.0785017676653861,-2.02814263594821,-0.589299828322787,-2.06177222915439,2.69616659071112,2.03568763398232,1.15342099976275,-0.230702874615272,1.2842739271602,0.22214770761626,-0.610278857565606,0.732143626365586,2.2130895468336,0.721014395972333,0.434997170374971,-3.14743069520026,1.59469763405156,0.803857371278824,0.657732044130764,0.712455754617466,2.36007347417238,0.967197697395046,0.687593264117468,-2.31709221788738,-1.51505106613188,-0.0103457631478992,2.03050476363528,2.47682876839277,-0.207807303823815,2.81972727946293,-1.70174818377934,-1.08454059204945,1.96008999351742,-1.39679398159307,-3.06753006500866,1.28039480884784,0.270968487504932,0.347262302024322
"A172",5.08528871989457,-1.97652369671264,-1.9230246966649,1.96628216424039,0.153857071809383,-2.68592028099958,0.277813837128691,1.74104314850195,1.07729221714648,2.25283704640635,0.895517827451397,2.13923255865217,1.06873297207871,1.38965808896092,-1.77633478669037,2.07347907120857,2.4268175873292,2.23555907473831,2.21343177088534,0.607722600245123,0.193592845431121,1.96266145114477,0.0891984407546632,2.71429708244713,-0.642145215175257,2.12266205269515,1.75357037283245,2.93675921926829,-1.60063834826952,1.37496199798779,2.54701336243523,3.02227180275504,0.647940006447292,1.02913634210961,2.95195952613491,2.74993745910452,2.86134224530786,1.84134693345336,0.427466504058769,0.231355619221573,-0.00695479183319865,0.771432945259927,0.894381361554032,1.08169246844754,-1.46598341837772,0.449011774005813,0.302868049472655,0.355203736088459,2.22610029468384,1.86891487141056,1.41284180884447,1.54178710302681,1.57298725290122,1.55157740353235,1.56132470888419,1.12010322999458,-0.100270778570787,0.866129554155486,1.14300314373086,-1.09395435923918,0.93699816200694,-1.60717404592768,-0.269602197064864,-1.85633096166798,2.1790812488392,1.85674050136442,0.78940101085971,-0.535360887964885,0.574607211705518,-0.529048417670421,-0.174587684608553,1.08352694872869,2.75257840384898,0.753624700029484,0.706360431563953,-0.328131195802002,1.62896216579028,0.943262425613913,0.771768220599957,1.68650705323143,1.68919663895785,1.40296270041402,0.346226943979465,-3.59467757573179,-0.052084937214657,0.183897655417113,1.61120386442526,1.81820859204652,1.5990835740243,1.81135064788278,-1.40342435544829,-0.0107001474451323,0.572627263162521,-0.959986671817525,-2.71568552190578,1.56163566373323,1.00548813898101,0.333943358853313
