,AICAR,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,ATRA,Gefitinib,ABT-263,Vorinostat,Nilotinib,RDEA119,CI-1040,temsirolimus,AZD-2281,ABT-888,Bosutinib,lenalidomide,Axitinib,AZD7762,GW 441756,CEP-701,SB 216763,17-AAG,VX-702,AMG-706,KU-55933,Elesclomol,BIBW2992,GDC-0449,PLX4720,BX-795,NU-7441,SL 0101-1,BIRB 0796,JNK Inhibitor VIII,681640,Nutlin-3,PD173074,ZM-447439,RO-3306,MK-2206,PD-0332991,NVP-BEZ235,GDC-0941,AZD8055,PD-0325901,SB590885,AZD6244,AZD6482,CCT007093,EHT 1864,BMS-708163,PF-4708671,JNJ-26854165,TW 37,CCT018159,AG-014699,Doxorubicin,etoposide,Gemcitabine,Mitomycin-C,Vinorelbine,NSC-87877,Bicalutamide,QS11,Midostaurin,CHIR-99021,AP-24534,JNK-9L,PF-562271,DMOG,FTI-277,OSU-03012,shikonin,AKT inhibitor VIII,embelin,FH535,pac-1,IPA-3,GSK-650394,BAY 61-3606,thapsigargin,Obatoclax Mesylate,BMS-754807,OSI-906,Bexarotene,Bleomycin,LFM-A13,AUY922,Bryostatin 1,Pazopanib,LAQ824,Epothilone B,GSK-1904529A,Tipifarnib,AS601245
22RV1,3.965135546,-2.030853936,-2.008102986,1.402975729,0.440609992,-2.409294239,-0.270121179,2.987153014,1.7019662,2.175852704,0.413758867,2.19108732,1.514136442,2.16030279,-0.67379486,2.470662655,2.651121567,1.778512339,2.58675261,1.24522651,0.257325995,1.064707232,0.146016754,2.970015319,0.543034871,1.73783849,1.992620822,2.90565418,-1.946915236,1.533713134,2.490044349,2.908805855,1.359384289,2.042216817,2.784563324,2.370662877,2.843543555,1.607273065,1.107410105,2.076377118,2.082147155,2.390735533,1.333820847,0.224902003,-1.308966174,0.390258759,-0.150477826,0.672769056,2.014856265,1.805276171,1.890533247,1.877215315,1.60305042,1.88382658,1.680349192,1.365237276,0.0120191,1.596996789,1.162389615,-1.672779439,0.184843549,-1.015577668,-0.841426015,-2.056150721,3.304127184,1.580311195,1.327093626,0.987837108,2.295400511,1.60031697,0.005782631,0.885347085,2.483575967,1.960662394,1.226849774,0.664166117,0.820479993,1.353020572,0.419909346,1.623024057,3.070177958,2.157571512,1.541535647,-2.931315338,-0.562592455,0.268938595,0.763442361,1.685460838,0.865063795,2.635017493,-1.455069352,-0.391473915,2.242880411,-2.262108799,-2.075131996,1.892820818,0.507752788,1.936569907
23132-87,3.866856008,-1.94484452,-1.82605499,2.426279931,-0.771170631,-2.312936454,-0.642533474,2.740049877,1.568484053,1.584957277,0.187712932,2.371874558,0.477486371,1.138719263,-0.977886987,2.67471114,2.678103849,1.440264253,2.754891456,2.135857656,-0.59560535,1.273969422,-0.372933449,2.447706719,-0.679137551,2.426133139,1.338012223,1.645784563,-0.962933794,1.35041524,3.013241083,2.932808442,1.397454544,1.205493777,2.986542396,2.414424126,2.755658855,1.625344058,1.319969025,2.284153153,2.123343461,2.771388566,-0.046794362,1.699245779,-0.620721034,-0.108009038,-0.175110141,0.025172142,2.768040156,2.678499925,0.527096233,2.510938691,2.129153452,1.947032061,1.73763828,1.182013646,-0.271901352,1.142171904,2.606176431,-1.812030753,-0.299824316,-1.366025955,-1.515220875,-2.158316761,2.984786977,1.561894503,0.783343906,0.666365818,1.969266636,1.615668412,-0.20542433,0.839416101,4.812940913,1.51007492,1.228527887,0.323932002,-0.119539122,1.367284974,0.544544913,1.199438843,3.070434627,1.014129296,1.449513857,-1.503007212,-0.081742039,1.638774181,1.762888161,2.355634116,-0.881221287,2.509458181,-0.979319291,-1.314898203,2.350832122,-1.357182416,-2.435901725,1.518964928,0.826192268,0.85139872
639-V,3.538460327,-2.986914152,-2.324433098,0.375743334,-0.053939375,-2.825041307,1.102683244,3.091686827,0.471636424,1.467265644,0.244008789,1.964623159,0.68974389,0.611660783,-1.832287551,1.128393912,1.5287422,0.857458865,1.691329893,0.209652621,-0.235257321,0.853370851,0.525982733,2.238230854,-0.71415428,1.901404649,1.124277669,0.868106897,-2.194483503,0.709713619,1.682489395,2.960378759,0.9673041,0.091280449,2.264504802,2.558815749,1.31142211,2.135620531,1.641434669,0.605212378,1.831317771,0.952876837,0.756071515,1.326651514,-1.307417046,-0.124928716,0.207198423,-1.980690752,2.724994624,1.729510024,0.506095181,2.362447328,2.269618185,2.745641852,1.927436694,1.039542038,-0.282843836,1.70911903,2.512070897,-1.798229309,0.003445692,-0.714135606,-2.754629142,-2.179847344,1.44186376,1.738948112,0.060611006,-0.035917022,2.17232493,0.389841836,-0.658256238,0.829385201,3.183092352,1.661151638,-0.617622343,-0.576737426,1.290422234,2.240278987,0.20686141,2.228655964,1.653941482,0.713539319,0.154659214,-3.290890757,-0.806983857,-0.004332087,1.431756859,1.471991637,-0.65844255,2.658821608,-2.314079083,-1.105011062,2.496328591,-1.389448325,-3.66147641,1.401512591,0.07680107,0.684452446
647-V,3.033641632,-3.260055849,-1.614292567,2.003417817,-0.064295561,-2.562128548,0.828866219,2.12478141,0.087497309,1.958863546,0.661365352,2.333106393,1.252527869,0.986943765,-0.602783369,2.261225444,2.604168688,0.600290084,2.714771766,2.21855992,-0.41926355,2.084678657,0.079480667,2.392515706,1.594268117,2.152420779,2.361139233,1.23400825,-2.162000447,0.970675093,2.938045165,2.97167389,1.683685876,0.98489346,2.718052861,2.830889082,2.910042291,1.203046093,2.927051,2.09372892,2.210548056,2.514496866,1.814769848,2.554176181,-1.018123503,0.792560938,0.065198893,0.07663517,2.877320374,2.430212467,1.3815881,2.259413133,1.168278214,2.370109585,1.091955736,1.202134509,-1.053410364,1.902364874,1.725690404,-1.725706473,-0.312169571,-3.60542593,-1.058548502,-1.680123359,3.198336089,1.865392082,1.286715531,1.082686155,2.497859913,-0.166548025,-0.396391431,0.749769034,1.970794484,0.67303441,0.983676567,-0.445482342,0.769178088,1.38992822,0.489526751,1.237916031,3.419894024,1.782346291,0.863168969,-1.862916603,-0.982648592,1.622039946,1.739120093,2.143484736,0.238901486,2.962043844,-0.825598587,0.003007489,1.530610969,-1.237375769,-2.61696778,1.729179526,0.362585949,2.207380746
697,2.932297278,-2.324506928,-2.257861834,1.012432073,-2.274914406,-2.528591025,-1.74923568,2.078380084,1.804195646,-0.909391799,-0.39210147,0.486225245,1.112483533,0.899152004,-1.96982427,0.487805208,2.469713722,-0.690031828,2.08148833,0.372962112,-1.164311802,1.255398121,-1.677301747,1.720961372,0.196020552,1.590225704,1.744619129,0.900351525,-1.982745399,0.668461289,1.553239883,0.660299159,-0.011462334,0.419928889,2.380388901,1.737254363,2.244340075,0.395039472,0.305607381,0.183749995,-0.025245104,1.2956633,-0.376687925,-1.271477875,-1.700384065,-0.809725993,-1.065121549,0.320475018,2.339547848,2.41638236,0.604456104,2.73788709,1.282956278,2.994446121,1.27819337,0.600775191,-1.027849093,0.871268995,0.181001346,-1.71913386,-0.614038111,-2.204340684,-3.89187441,-2.373867536,2.828472667,2.308309046,0.521221563,-0.173071997,1.733642771,-0.724200815,-0.42877373,0.581673183,2.360633714,1.839848617,0.229124648,-0.057670833,0.855970972,1.632098641,2.74615128,-0.040830196,2.169687893,1.530908026,-0.235169159,-3.371342941,-1.273829145,0.880050864,1.067283032,2.340667025,0.197543622,2.020052164,-1.692262324,-1.544658658,1.343214637,-2.043900577,-2.749246931,1.634607125,0.108191441,0.932485408
769-P,4.027719552,-1.596142966,-1.592535716,1.208302359,-0.642340213,-0.678496966,-1.34433034,2.067823688,0.106931987,0.590518893,0.768429365,1.292998035,1.272924509,1.10695149,-0.404232618,1.395266568,2.481978198,0.229416494,2.310222548,1.918174496,-0.65173878,1.956773721,0.206616903,2.118932332,-0.672028584,2.191877736,1.934020599,2.329852224,-2.007846752,0.359905049,2.055339894,2.019807222,1.228072313,2.131826101,1.44379333,2.245237327,2.748956388,0.008834418,1.823811859,1.752840758,1.539598693,1.938843005,1.510063194,0.686570501,-1.9814803,0.582907448,0.435014976,0.077642733,2.354112348,0.573173171,1.365146248,2.582489576,1.483062672,2.174639285,2.138550716,0.260606221,-0.863794787,1.91051137,0.636976677,-1.682775595,0.353441444,-3.909652689,-2.147989673,-1.77148502,2.822950613,1.807897138,0.560898272,-0.917845775,-0.232851764,1.315486237,-0.272024692,1.079868886,4.532197325,1.683037475,0.39653388,-0.162031797,1.545753949,0.927906207,0.827791774,0.65619247,1.775171312,0.689189731,-0.008737136,-1.490390088,-2.16889878,0.688591273,1.827633217,2.174773482,-0.910801519,3.00727822,-1.969585408,-1.135291377,2.039792585,-1.545467749,-3.122994248,1.657226051,0.622459949,2.25947046
8-MG-BA,4.208247517,-2.823351901,-2.198227555,0.731110005,-0.467630058,-3.129962068,1.338568989,2.811830069,0.7919564,2.182689802,0.369041736,1.92851027,1.53534087,1.115461056,-0.388884217,0.939013723,2.230840465,0.727768978,2.600739933,0.63008008,-0.588923729,2.127102279,-0.906699173,2.61999959,-1.023539589,2.458734323,1.997793703,1.970774506,-2.039040822,1.567595053,1.743385299,0.791079125,0.291689546,1.138344467,2.462325938,2.885415623,2.771579656,0.191311497,2.588227474,2.034847274,0.688998207,0.496997051,1.280228908,2.219575735,-1.428840571,0.688915257,0.29712561,0.403529061,2.200953188,1.903945706,1.444746806,2.434043813,1.85221385,2.726515089,2.605906734,0.908194883,-0.812598416,2.282425529,0.65618943,-1.655152729,-1.329059243,-2.226927472,-0.982953901,-2.471783135,2.640484827,1.95303792,0.54891131,-0.703106263,1.881439697,-0.251378332,-0.934157442,0.730036864,2.099442933,1.4143942,0.188869893,-1.067734698,1.446524608,0.548030995,0.567899099,2.363479646,3.339522185,1.192293396,0.98578637,-2.700064818,-1.1078444,0.305285135,1.247107874,1.135457711,0.170124875,1.918538869,-1.724807918,-0.310733793,1.555803089,-1.303201784,-2.320627375,1.879137936,0.329142233,0.565520903
8505C,3.30151056,-2.520933545,-2.540128926,1.124916081,0.409283463,-2.963316327,1.230667222,2.184775284,1.285501678,0.592129691,0.086030263,0.818167374,0.363268659,0.392946607,-1.20896683,1.204656023,2.167582434,0.56014868,2.755868619,0.55153358,-0.508338217,1.726521644,-0.36211083,2.348607065,-0.0393562,1.799547392,1.674098826,1.552762593,-2.103778929,1.383100242,1.652833162,1.66292052,0.641182384,1.425321918,2.964245283,1.899556291,2.215286643,1.981756077,1.797927908,2.342722541,0.775434969,1.330542358,1.188931522,1.007357777,-1.396029189,0.930285272,0.094812131,-0.961617448,2.353014886,2.056571987,1.822358083,2.789377044,1.962720949,2.629466776,2.07110652,1.568868838,-0.655042893,1.219425509,1.376967136,-1.708626105,-0.159420818,-2.973435388,-0.366702626,-2.354650005,3.10686151,1.990918387,0.659771057,-0.559029937,1.555450442,-0.13822247,0.100830584,1.100782771,2.831024582,1.397886667,0.182166558,0.491287815,1.687661408,1.148246381,0.425860483,0.644210285,1.051003504,0.891113647,0.248085511,-4.118073216,-1.517151749,0.133520798,1.737366411,1.328031268,0.017023909,2.392370218,-2.085438238,-1.434155902,1.985362024,-1.80567051,-3.34610522,1.570840101,-0.365427537,0.462375529
A101D,2.592084878,-2.395580522,-2.035854403,0.574524261,0.002062899,-2.239545898,0.54042867,1.751700735,0.620408776,0.928686634,0.047055373,0.841071631,-0.195592337,-0.127491922,-1.140922005,0.859744991,0.795298296,0.448396024,1.739995196,0.694485518,-0.255777301,1.423151748,-0.417279258,1.491058902,-0.204813712,0.434152902,1.848528861,1.362367892,-1.746256419,1.387407141,1.10793951,-0.131809678,0.538519077,0.924298088,1.761598306,2.820329646,2.717724969,2.022765202,0.55238914,0.714549054,0.898271254,1.56348793,1.107634201,0.586735754,-1.628133532,-0.056090001,-0.321151649,-1.607175349,0.225245096,2.064347595,1.219940071,2.702568091,2.612032458,2.266563358,2.762224084,1.510676418,-1.057971324,2.312523006,2.385741147,-1.288344569,0.078501768,-2.028142636,-0.589299828,-2.061772229,2.696166591,2.035687634,1.153421,-0.230702875,1.284273927,0.222147708,-0.610278858,0.732143626,2.213089547,0.721014396,0.43499717,-3.147430695,1.594697634,0.803857371,0.657732044,0.712455755,2.360073474,0.967197697,0.687593264,-2.317092218,-1.515051066,-0.010345763,2.030504764,2.476828768,-0.207807304,2.819727279,-1.701748184,-1.084540592,1.960089994,-1.396793982,-3.067530065,1.280394809,0.270968488,0.347262302
A172,5.08528872,-1.976523697,-1.923024697,1.966282164,0.153857072,-2.685920281,0.277813837,1.741043149,1.077292217,2.252837046,0.895517827,2.139232559,1.068732972,1.389658089,-1.776334787,2.073479071,2.426817587,2.235559075,2.213431771,0.6077226,0.193592845,1.962661451,0.089198441,2.714297082,-0.642145215,2.122662053,1.753570373,2.936759219,-1.600638348,1.374961998,2.547013362,3.022271803,0.647940006,1.029136342,2.951959526,2.749937459,2.861342245,1.841346933,0.427466504,0.231355619,-0.006954792,0.771432945,0.894381362,1.081692468,-1.465983418,0.449011774,0.302868049,0.355203736,2.226100295,1.868914871,1.412841809,1.541787103,1.572987253,1.551577404,1.561324709,1.12010323,-0.100270779,0.866129554,1.143003144,-1.093954359,0.936998162,-1.607174046,-0.269602197,-1.856330962,2.179081249,1.856740501,0.789401011,-0.535360888,0.574607212,-0.529048418,-0.174587685,1.083526949,2.752578404,0.7536247,0.706360432,-0.328131196,1.628962166,0.943262426,0.771768221,1.686507053,1.689196639,1.4029627,0.346226944,-3.594677576,-0.052084937,0.183897655,1.611203864,1.818208592,1.599083574,1.811350648,-1.403424355,-0.010700147,0.572627263,-0.959986672,-2.715685522,1.561635664,1.005488139,0.333943359
